generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,best_distance,avg_distance,diversity
128,98,-1900.8408952887382,-221.19672035857064,-1109.7321307211573,664.3839156980329,111.19672035857064,115.9560609764262,0.678
129,98,-1890.633192096212,-221.19672035857064,-1243.7286350760378,627.0367531876302,111.19672035857064,116.33260995424867,0.776
130,98,-1836.721611642659,-221.19672035857064,-967.9335836771749,667.4736885152255,111.19672035857064,114.42679123798563,0.658
131,98,-2002.65291074225,-221.19672035857064,-1026.6285285733347,672.5790293573688,111.19672035857064,115.38676294144629,0.545
132,98,-1955.585394655972,-221.19672035857064,-991.2738245247887,682.7742881721009,111.19672035857064,114.82294186737764,0.729
133,98,-1940.3379431443032,-221.19672035857064,-1104.7197565527113,679.7755964625297,111.19672035857064,117.17631206152359,0.663
134,98,-1880.1983828781429,-221.19672035857064,-1005.4450961125902,686.2074352730644,111.19672035857064,116.78010287634956,0.72
135,98,-1877.8581788408937,-220.4658657706186,-1032.468677228934,664.394686620974,110.46586577061859,115.64278824346148,0.702
136,98,-1955.478026393208,-220.4658657706186,-951.1086407146194,707.1381824586939,110.46586577061859,116.23114457338072,0.659
137,98,-1897.684908227258,-220.4658657706186,-957.9796130883014,666.7680731025545,110.46586577061859,113.99544489397302,0.66
138,98,-1940.4658806718078,-220.4658657706186,-1086.7915884074046,652.4902714822391,110.46586577061859,115.22724402013465,0.706
139,98,-1932.374073595276,-220.4658657706186,-1128.8892026011335,661.0664695115407,110.46586577061859,116.03331005159161,0.744
140,98,-1894.6268299744222,-220.4658657706186,-1012.0979033097659,683.8111919304871,110.46586577061859,115.67755281466118,0.692
141,98,-2039.716141316746,-220.4658657706186,-926.7646050972722,714.8923863366341,110.46586577061859,115.59387477307865,0.646
142,98,-1976.4452934992996,-220.4658657706186,-971.8036591809079,684.4946420363934,110.46586577061859,114.79987995085426,0.713
143,98,-1870.44703651594,-220.4658657706186,-972.5105935893544,692.9321539751004,110.46586577061859,114.84084680160728,0.704
144,98,-2125.5507473470334,-220.4658657706186,-1121.140772515029,681.6590135678869,110.46586577061859,117.03109480548866,0.694
145,98,-2040.3825926645677,-220.4658657706186,-1058.1327458626845,664.9814398572047,110.46586577061859,115.82935054883704,0.629
146,98,-2068.771230720772,-220.4658657706186,-1081.150530417562,686.8546058494744,110.46586577061859,116.0904229821746,0.667
147,98,-1945.1377524498089,-220.4658657706186,-1139.6692803673009,665.0319937106901,110.46586577061859,116.65181673222365,0.691
148,98,-1808.639080649709,-220.4658657706186,-950.8328191620138,677.094562909997,110.46586577061859,115.33533278800503,0.583
149,98,-1926.7751009171784,-220.4658657706186,-1041.4633189430913,691.6850380740453,110.46586577061859,116.0993033520496,0.566
150,98,-2014.589100940396,-220.4658657706186,-1087.3115103104033,662.887196581782,110.46586577061859,115.00174954138708,0.703
151,98,-1976.4452934992996,-220.4658657706186,-1013.749739644501,671.6437023065743,110.46586577061859,114.19649424249403,0.636
152,98,-2096.5849031210273,-220.4658657706186,-1057.904781931122,693.3494001091873,110.46586577061859,116.52723217049278,0.716
153,98,-1940.040875653241,-220.4658657706186,-1092.6730336182195,671.7327709497822,110.46586577061859,116.8069119677777,0.697
154,98,-1893.6806871415988,-220.4658657706186,-1013.1736148015177,668.0639278188812,110.46586577061859,114.80679805067508,0.605
155,98,-2061.0824187318067,-220.3393464409341,-1052.5631771663836,685.7195195851018,110.33934644093411,115.46375956649693,0.608
156,98,-1955.478026393208,-220.3393464409341,-1085.2106795813863,688.6257427812498,110.33934644093411,117.03223119194887,0.716
157,98,-1879.6369278587426,-220.3393464409341,-956.4366418653232,686.752642237157,110.33934644093411,114.34019853899366,0.702
158,98,-1926.7751009171784,-220.3393464409341,-1097.1568671322905,676.6966488814863,110.33934644093411,116.27187071660848,0.728
159,98,-2106.3199804595592,-220.3393464409341,-1060.6066356942292,644.5811175137299,110.33934644093411,115.04073565111922,0.687
160,98,-2063.8464527622673,-220.3393464409341,-1109.153878756902,676.2002263662531,110.33934644093411,116.70653706158986,0.62
161,98,-1945.7193164251153,-220.3393464409341,-1083.9031707520805,684.7097238704472,110.33934644093411,116.37712732293076,0.685
162,98,-1997.227603212717,-220.3393464409341,-1043.6178524003726,664.9715779797112,110.33934644093411,115.41130755354462,0.688
163,98,-1958.3522087326933,-220.3393464409341,-1116.1638280065388,653.9933081955191,110.33934644093411,114.9387181296562,0.775
164,98,-1884.1137468380239,-220.3393464409341,-1168.0802419321024,625.833615907513,110.33934644093411,115.98658544904605,0.756
165,98,-1998.043667710225,-220.3393464409341,-1120.1395587263053,647.2578209143026,110.33934644093411,116.82629262798099,0.667
166,98,-2127.4264855441493,-220.3393464409341,-1164.5797614814298,638.8808448956075,110.33934644093411,115.69305959679963,0.727
167,98,-1881.9997011014307,-220.3393464409341,-1111.8492527228507,670.2115329376855,110.33934644093411,115.95366559300874,0.681
168,98,-1913.1618055759811,-214.27812479705352,-966.2692913441666,686.8195244241011,104.27812479705351,115.66121996091216,0.679
169,98,-1882.0994683476208,-214.27812479705352,-878.1011063039404,673.646416456219,104.27812479705351,113.12526585364014,0.538
170,98,-1981.073880090819,-214.27812479705352,-1078.6193140086377,676.8787853804733,104.27812479705351,116.71597098250538,0.639
171,98,-1900.202100923217,-214.27812479705352,-1092.0200986717693,675.8123050223936,104.27812479705351,116.23862398614027,0.678
172,98,-1889.0115927412196,-213.55192563929648,-1020.4046171014343,680.4199350112823,103.55192563929647,114.23500825743395,0.654
173,98,-1955.05358087277,-213.55192563929648,-1051.534640311159,655.3603662809091,103.55192563929647,113.17214778772184,0.676
174,98,-1929.3458822998152,-213.55192563929648,-1028.603038048763,667.3410993774273,103.55192563929647,112.84588839327984,0.724
175,98,-2070.022466777633,-213.55192563929648,-921.3491579264213,701.8766456884829,103.55192563929647,111.7164292546457,0.654
176,98,-1892.9918526043225,-213.55192563929648,-996.1423381242743,657.6539910460895,103.55192563929647,112.62799587394055,0.71
177,98,-2070.022466777633,-210.9968061421717,-938.6251267716317,664.0630628823708,100.9968061421717,109.71954887629634,0.65
178,98,-1978.867516786373,-210.9968061421717,-1172.8500065616568,635.7400853033531,100.9968061421717,113.61811761043694,0.685
179,98,-1881.8896200208762,-210.9968061421717,-1043.193375496912,630.6208262598318,100.9968061421717,110.64892983827808,0.632
180,98,-1881.7142311544612,-210.9968061421717,-1044.2054322534107,634.8395142568572,100.9968061421717,109.74210219912115,0.743
181,98,-2100.74960292309,-210.9968061421717,-997.7204925076497,671.2528820940993,100.9968061421717,110.334546039906,0.696
182,98,-1910.4871294643358,-210.11471810070515,-960.3715991730127,644.1523029816832,100.11471810070515,108.58101110680641,0.576
183,98,-1871.41185689123,-210.11471810070515,-904.1658999113323,657.3767066129592,100.11471810070515,107.8127424508203,0.56
184,98,-1903.9044282161406,-210.11471810070515,-1075.3116386278841,657.1359258904596,100.11471810070515,110.12233007011884,0.658
185,98,-1850.2769075171964,-210.11471810070515,-1072.7340345869484,638.645020734124,100.11471810070515,109.46650271834282,0.791
186,98,-1987.7889010572408,-210.11471810070515,-1029.4248747000129,632.721524012625,100.11471810070515,108.51038951331118,0.719
187,98,-1910.362851597441,-210.11471810070515,-1046.1691290824622,659.3687138137221,100.11471810070515,109.49412069403667,0.597
